Campanha,Própria,Imprópria,Muito Boa,Indisponível,Satisfatória
19641,21,7,0,0,0
19681,24,4,0,0,0
19661,12,4,0,0,0
19501,17,18,0,0,0
19621,23,5,0,0,0
19601,11,5,0,0,0
19581,15,13,0,0,0
19481,13,22,0,0,0
19561,24,4,0,0,0
19521,14,14,0,0,0
19461,13,22,0,0,0
19541,10,6,0,0,0
19341,14,14,0,0,0
19321,12,4,0,0,0
19301,12,23,0,0,0
19361,24,4,0,0,0
19381,12,23,0,0,0
19441,12,4,0,0,0
19421,22,6,0,0,0
19401,12,16,0,0,0
19161,14,14,0,0,0
19281,24,4,0,0,0
19101,10,25,0,0,0
19221,11,5,0,0,0
19141,19,9,0,0,0
19201,12,4,0,0,0
19261,24,4,0,0,0
19081,12,23,0,0,0
19181,12,4,0,0,0
19241,24,4,0,0,0
19061,15,20,0,0,0
19121,17,11,0,0,0
19001,12,4,0,0,0
19041,20,8,0,0,0
19021,13,15,0,0,0
18981,14,21,0,0,0
18921,12,4,0,0,0
18961,22,6,0,0,0
18941,15,13,0,0,0
18901,12,23,0,0,0
18821,6,29,0,0,0
18881,22,6,0,0,0
18861,12,4,0,0,0
18841,10,18,0,0,0
18741,5,30,0,0,0
18801,21,7,0,0,0
18761,10,18,0,0,0
18781,13,3,0,0,0
18681,15,13,0,0,0
18721,22,6,0,0,0
18701,14,2,0,0,0
18661,8,27,0,0,0
18601,23,5,0,0,0
18641,12,16,0,0,0
18621,13,3,0,0,0
18581,12,23,0,0,0
18481,13,15,0,0,0
18561,23,5,0,0,0
18501,12,4,0,0,0
18461,10,25,0,0,0
18401,23,5,0,0,0
18441,14,2,0,0,0
18421,25,3,0,0,0
18381,21,14,0,0,0
18221,25,3,0,0,0
18201,24,4,0,0,0
18181,20,15,0,0,0
18361,14,2,0,0,0
18041,25,10,0,0,0
18061,14,2,0,0,0
18081,23,5,0,0,0
18101,25,3,0,0,0
17761,25,10,0,0,0
17801,14,2,0,0,0
17821,22,6,0,0,0
17781,25,3,0,0,0
17741,23,5,0,0,0
17701,24,4,0,0,0
17681,21,14,0,0,0
17721,14,2,0,0,0
16621,23,5,0,0,0
16641,35,9,0,0,0
16661,24,4,0,0,0
16601,21,14,0,0,0
15981,19,16,0,0,0
16181,22,6,0,0,0
16581,11,5,0,0,0
16381,21,7,0,0,0
16361,22,6,0,0,0
16161,24,4,0,0,0
16561,11,5,0,0,0
15961,23,12,0,0,0
16341,23,5,0,0,0
16541,13,3,0,0,0
16141,22,6,0,0,0
15921,22,13,0,0,0
16521,13,3,0,0,0
16321,22,6,0,0,0
15841,25,10,0,0,0
16121,21,7,0,0,0
16301,26,2,0,0,0
15821,28,7,0,0,0
16501,13,3,0,0,0
16101,23,5,0,0,0
15801,26,9,0,0,0
16281,27,1,0,0,0
16081,24,4,0,0,0
16481,10,6,0,0,0
16261,25,3,0,0,0
16461,10,6,0,0,0
15781,27,8,0,0,0
16061,26,2,0,0,0
16241,26,2,0,0,0
15761,29,6,0,0,0
16041,26,2,0,0,0
16441,10,6,0,0,0
16021,27,1,0,0,0
16421,10,6,0,0,0
16221,25,3,0,0,0
15741,26,9,0,0,0
16001,27,1,0,0,0
16201,25,3,0,0,0
15721,26,9,0,0,0
16401,13,3,0,0,0
18341,26,2,0,0,0
17041,29,6,0,0,0
18161,24,4,0,0,0
18281,13,3,0,0,0
18141,23,5,0,0,0
18321,27,1,0,0,0
17021,26,9,0,0,0
18261,13,3,0,0,0
18301,25,3,0,0,0
17001,25,10,0,0,0
18241,13,3,0,0,0
18121,26,2,0,0,0
18021,27,1,0,0,0
17661,13,3,0,0,0
17361,26,2,0,0,0
16981,25,10,0,0,0
18001,27,1,0,0,0
16961,25,10,0,0,0
17341,26,2,0,0,0
17641,13,3,0,0,0
17981,28,0,0,0,0
17621,13,3,0,0,0
17321,27,1,0,0,0
16941,20,15,0,0,0
17961,27,1,0,0,0
17601,12,4,0,0,0
16921,15,20,0,0,0
17301,21,7,0,0,0
17941,27,1,0,0,0
17581,12,4,0,0,0
16901,24,11,0,0,0
17281,27,1,0,0,0
17921,27,1,0,0,0
16881,24,11,0,0,0
17261,27,1,0,0,0
17561,12,4,0,0,0
17901,27,1,0,0,0
16861,24,11,0,0,0
17241,27,1,0,0,0
17541,12,4,0,0,0
17881,24,2,0,2,0
17521,12,4,0,0,0
16841,25,10,0,0,0
17221,26,2,0,0,0
17201,25,3,0,0,0
17861,24,2,0,2,0
16821,25,10,0,0,0
17501,13,3,0,0,0
17481,13,3,0,0,0
17181,24,4,0,0,0
17841,23,3,0,2,0
16801,25,10,0,0,0
17461,13,3,0,0,0
16781,24,11,0,0,0
17161,26,2,0,0,0
15701,25,1,0,2,0
15681,23,3,0,1,0
17441,13,3,0,0,0
16761,26,9,0,0,0
17141,25,3,0,0,0
15661,26,1,0,0,0
17421,13,3,0,0,0
16741,21,14,0,0,0
17121,24,4,0,0,0
15641,24,3,0,0,0
17101,26,2,0,0,0
16721,23,12,0,0,0
17401,13,3,0,0,0
15621,26,1,0,0,0
17081,26,2,0,0,0
16701,25,10,0,0,0
17381,13,3,0,0,0
15281,22,13,0,0,0
15261,26,2,0,0,0
15181,13,3,0,0,0
15001,25,2,0,0,0
15021,0,0,0,27,0
15161,0,0,0,16,0
15241,0,0,0,28,0
14981,20,15,0,0,0
14901,15,20,0,0,0
15041,20,7,0,0,0
8381,0,0,0,28,0
15141,0,0,0,16,0
15061,21,6,0,0,0
14881,12,23,0,0,0
15121,0,0,0,16,0
15221,0,0,0,28,0
15081,22,5,0,0,0
15101,0,0,0,16,0
14861,11,24,0,0,0
15201,0,0,0,28,0
14841,15,20,0,0,0
15601,23,4,0,0,0
14821,12,23,0,0,0
15581,22,5,0,0,0
15561,22,5,0,0,0
14801,16,19,0,0,0
15541,24,3,0,0,0
14781,13,22,0,0,0
14761,12,23,0,0,0
15521,0,0,0,27,0
14961,14,21,0,0,0
15501,22,5,0,0,0
15481,23,6,0,0,0
14941,11,24,0,0,0
15461,27,2,0,0,0
14921,17,18,0,0,0
14741,12,23,0,0,0
15441,23,6,0,0,0
14721,8,27,0,0,0
15421,25,4,0,0,0
15401,18,11,0,0,0
14701,10,25,0,0,0
15381,0,0,0,29,0
14681,17,18,0,0,0
14661,14,23,0,0,0
15361,0,0,0,29,0
15341,0,0,0,29,0
14641,24,13,0,0,0
15321,0,0,0,29,0
14621,25,12,0,0,0
14541,18,19,0,0,0
14561,12,4,0,0,0
14581,0,0,0,20,0
14481,9,7,0,0,0
14501,0,0,0,20,0
14461,22,15,0,0,0
15301,0,0,0,29,0
14401,9,7,0,0,0
14421,0,0,0,20,0
14381,25,12,0,0,0
14361,9,7,0,0,0
14341,0,0,0,20,0
14321,20,17,0,0,0
14081,8,4,0,0,0
14221,9,7,0,0,0
14021,19,18,0,0,0
17061,7,5,0,0,0
14001,17,20,0,0,0
14141,0,0,0,20,0
14201,10,6,0,0,0
14061,8,4,0,0,0
14121,0,0,0,20,0
14181,12,4,0,0,0
13981,17,20,0,0,0
14041,2,10,0,0,0
14161,12,4,0,0,0
14101,0,0,0,20,0
13961,15,22,0,0,0
9341,3,9,0,0,0
12421,0,0,0,16,0
9181,16,21,0,0,0
9441,0,6,19,0,2
9321,5,7,0,0,0
